drug,dose_nM,gene_set,pearson_improved_hill,pearson_original_loglinear,r2_improved_hill,r2_original_loglinear,pearson_improvement,r2_improvement,pearson_dose_specific,r2_dose_specific,r2_gain_vs_loglinear,pearson_gain_vs_loglinear
(+)-JQ1,10.0,all_retained_genes,0.9885780885151229,0.9879153527917872,0.96961135711034,0.9663590904025888,0.0006627357233356,0.003252266707751,0.9883768290426682,0.9670216131910225,0.0006625227884337059,0.00046147625088099886
(+)-JQ1,10.0,top100_DE,0.9728985772462748,0.9724547812218212,0.9217446493488785,0.9156666481376072,0.0004437960244536,0.0060780012112711,0.9726847169119636,0.9161005060468651,0.00043385790925787315,0.00022993569014240212
(+)-JQ1,10.0,top500_HVG,0.9929986212348928,0.992506223965756,0.9794980389663196,0.9767112367930172,0.0004923972691368,0.0027868021733024,0.9928247927688869,0.9776571121986777,0.0009458754056604901,0.00031856880313085867
(+)-JQ1,100.0,all_retained_genes,0.9764384168676314,0.9774563481275016,0.951811885412353,0.9546372365265712,-0.0010179312598701,-0.0028253511142183,0.9764932373916462,0.9515922183853205,-0.0030450181412506883,-0.0009631107358554214
(+)-JQ1,100.0,top100_DE,0.9562969964517186,0.9573042607437376,0.9089375347268612,0.9086130550497086,-0.001007264292019,0.0003244796771527,0.9575354449954798,0.9118265845640083,0.003213529514299762,0.00023118425174217805
(+)-JQ1,100.0,top500_HVG,0.9819443312085008,0.9827420194058196,0.9639107566512648,0.9657474361110128,-0.000797688197319,-0.0018366794597478,0.9814848400990424,0.9626904575172353,-0.003056978593777515,-0.0012571793067772674
(+)-JQ1,1000.0,all_retained_genes,0.947589661741716,0.9493163383236858,0.8971775802603851,0.9011743571779746,-0.0017266765819698,-0.0039967769175894,0.9457683573174098,0.8938145103423653,-0.007359846835609307,-0.0035479810062759576
(+)-JQ1,1000.0,top100_DE,0.9124275736019604,0.9111097434188414,0.8147125353173459,0.8026579344613077,0.0013178301831188,0.0120546008560381,0.91147596285554,0.8136249489678842,0.010967014506576445,0.00036621943669856716
(+)-JQ1,1000.0,top500_HVG,0.9553617225079892,0.9570780385544116,0.912569448137858,0.9137520304121108,-0.0017163160464224,-0.0011825822742528,0.9542214304078906,0.9103881338450559,-0.003363896567054936,-0.0028566081465210003
(+)-JQ1,10000.0,all_retained_genes,0.9357647399653222,0.9357647399653222,0.8723561313577978,0.8723561313577978,0.0,0.0,0.9357647399653222,0.8723561313577978,0.0,0.0
(+)-JQ1,10000.0,top100_DE,0.8643361977052025,0.8643361977052025,0.7376752172400707,0.7376752172400707,0.0,0.0,0.8643361977052025,0.7376752172400707,0.0,0.0
(+)-JQ1,10000.0,top500_HVG,0.9488360634240308,0.9488360634240308,0.900279684552573,0.900279684552573,0.0,0.0,0.9488360634240307,0.900279684552573,0.0,-1.1102230246251565e-16
Trametinib (GSK1120212),10.0,all_retained_genes,0.920772859134541,0.9248889338749212,0.8468747128800689,0.8521281610283824,-0.0041160747403803,-0.0052534481483135,0.9170597499295132,0.8360382929780092,-0.016089868050373157,-0.007829183945407991
Trametinib (GSK1120212),10.0,top100_DE,0.760984043034733,0.7635815166603589,0.5613837890182061,0.5441466824335572,-0.0025974736256259,0.0172371065846488,0.755684447175116,0.5611292564132564,0.016982573979699156,-0.007897069485242936
Trametinib (GSK1120212),10.0,top500_HVG,0.9268737790672792,0.9329062295137605,0.8581753213642296,0.8683699219203366,-0.006032450446481,-0.0101946005561069,0.9233386748510588,0.8475857238252433,-0.020784198095093243,-0.00956755466270165
Trametinib (GSK1120212),100.0,all_retained_genes,0.9168183434716052,0.92001365370861,0.839897152602406,0.8437974902099253,-0.003195310237005,-0.0039003376075192,0.9184171120647044,0.8430300442933162,-0.0007674459166091552,-0.0015965416439055469
Trametinib (GSK1120212),100.0,top100_DE,0.8108116991100938,0.8121402447476688,0.6543684446063351,0.6415740148481792,-0.001328545637575,0.0127944297581559,0.8141470195853779,0.6609905225334909,0.019416507685311668,0.0020067748377091688
Trametinib (GSK1120212),100.0,top500_HVG,0.9204600096235592,0.925033810752744,0.8467069201672208,0.8538809438676104,-0.0045738011291845,-0.0071740237003895,0.9218807177175876,0.8492408576791991,-0.004640086188411274,-0.003153093035156429
Trametinib (GSK1120212),1000.0,all_retained_genes,0.9079979201756508,0.9103885103066144,0.8230960845308931,0.8271930954630712,-0.0023905901309634,-0.004097010932178,0.9087993972142383,0.8231071620327068,-0.004085933430364341,-0.0015891130923760821
Trametinib (GSK1120212),1000.0,top100_DE,0.6951294305548575,0.6969793797060583,0.4432819895667945,0.4320257561188363,-0.0018499491512007,0.0112562334479582,0.700016722014252,0.46680235441110984,0.03477659829227353,0.0030373423081937467
Trametinib (GSK1120212),1000.0,top500_HVG,0.9134409818943467,0.91607874821023,0.8331709168057335,0.8367809292474664,-0.0026377663158831,-0.0036100124417328,0.913583907104407,0.8330214065318187,-0.003759522715647723,-0.002494841105823098
Trametinib (GSK1120212),10000.0,all_retained_genes,0.9013596301294752,0.9013596301294752,0.8111570200988387,0.8111570200988387,0.0,0.0,0.9013596301294751,0.8111570200988387,0.0,-1.1102230246251565e-16
Trametinib (GSK1120212),10000.0,top100_DE,0.7038418250532795,0.7038418250532795,0.4659209440707997,0.4659209440707997,0.0,0.0,0.7038418250532795,0.46592094407079976,5.551115123125783e-17,0.0
Trametinib (GSK1120212),10000.0,top500_HVG,0.9088977283406328,0.9088977283406328,0.8249124777628509,0.8249124777628509,0.0,0.0,0.9088977283406328,0.8249124777628509,0.0,0.0
